MapObject|GlassBottle|Bottle_%d.png|12|..\Texture\MapObject\GlassBottle\Bottle_%d.png
Alien|Ailen_AttackSide|Alien_Attack7.png|10|..\Texture\Monster\Alien\Ailen_AttackSide\Alien_Attack7.png
Alien|Alien_Attack|Alien_Attack%d.png|5|..\Texture\Monster\Alien\Alien_Attack\Alien_Attack%d.png
Alien|Alien_BackRun|Alien_BackRun%d.png|4|..\Texture\Monster\Alien\Alien_BackRun\Alien_BackRun%d.png
Alien|Alien_Dead|Alien_Dead%d.png|9|..\Texture\Monster\Alien\Alien_Dead\Alien_Dead%d.png
Alien|Alien_Idle|Alien_Idle%d.png|5|..\Texture\Monster\Alien\Alien_Idle\Alien_Idle%d.png
Alien|Alien_Jump|Alien_Jump%d.png|3|..\Texture\Monster\Alien\Alien_Jump\Alien_Jump%d.png
Alien|Alien_JumpBack|tile4694.png|3|..\Texture\Monster\Alien\Alien_JumpBack\tile4694.png
Alien|Alien_JumpSide|Alien_Attack_0000_tile4702.png|8|..\Texture\Monster\Alien\Alien_JumpSide\Alien_Attack_0000_tile4702.png
Alien|Alien_Run|Alien_Attack_0000_tile4636.png|9|..\Texture\Monster\Alien\Alien_Run\Alien_Attack_0000_tile4636.png
Alien|Alien_RunFront|Alien_RunFront%d.png|4|..\Texture\Monster\Alien\Alien_RunFront\Alien_RunFront%d.png
Alien|Alien_RunSide|Alien_Attack_0000_tile4621.png|3|..\Texture\Monster\Alien\Alien_RunSide\Alien_Attack_0000_tile4621.png
OctaBrain|OctaBrain_Dead|OctaBrain_Dead_%d.png|5|..\Texture\Monster\OctaBrain\OctaBrain_Dead\OctaBrain_Dead_%d.png
OctaBrain|OctaBrain_DeadFall|OctaBrain_DeadFall_%d.png|1|..\Texture\Monster\OctaBrain\OctaBrain_DeadFall\OctaBrain_DeadFall_%d.png
OctaBrain|OctaBrain_Fire|OctaBrain_Fire_%d.png|4|..\Texture\Monster\OctaBrain\OctaBrain_Fire\OctaBrain_Fire_%d.png
OctaBrain|OctaBrain_Idle|OctaBrain_Idle_%d.png|5|..\Texture\Monster\OctaBrain\OctaBrain_Idle\OctaBrain_Idle_%d.png
Overload|Overload_Dead|Overload_Dead_%d.png|11|..\Texture\Monster\Overload\Overload_Dead\Overload_Dead_%d.png
Overload|Overload_Fire|Overload_Fire_%d.png|3|..\Texture\Monster\Overload\Overload_Fire\Overload_Fire_%d.png
Overload|Overload_Met|Overload_Met_%d.png|3|..\Texture\Monster\Overload\Overload_Met\Overload_Met_%d.png
Overload|Overload_WalkBack|Overload_WalkBack_%d.png|5|..\Texture\Monster\Overload\Overload_WalkBack\Overload_WalkBack_%d.png
Overload|Overload_WalkBackSide|Overload_WalkBackSide_%d.png|5|..\Texture\Monster\Overload\Overload_WalkBackSide\Overload_WalkBackSide_%d.png
Overload|Overload_WalkFront|Overload_WalkFront_%d.png|5|..\Texture\Monster\Overload\Overload_WalkFront\Overload_WalkFront_%d.png
Overload|Overload_WalkFrontSide|Overload_WalkFrontSide_%d.png|5|..\Texture\Monster\Overload\Overload_WalkFrontSide\Overload_WalkFrontSide_%d.png
Overload|Overload_WalkSide|Overload_WalkSide_%d.png|5|..\Texture\Monster\Overload\Overload_WalkSide\Overload_WalkSide_%d.png
PigMan|PigMan_Dead|PigMan_Dead_%d.png|6|..\Texture\Monster\PigMan\PigMan_Dead\PigMan_Dead_%d.png
PigMan|PigMan_Fire|PigMan_Fire_%d.png|1|..\Texture\Monster\PigMan\PigMan_Fire\PigMan_Fire_%d.png
PigMan|PigMan_Lay|PigMan_Lay_%d.png|1|..\Texture\Monster\PigMan\PigMan_Lay\PigMan_Lay_%d.png
PigMan|PigMan_LayFire|PigMan_LayFire_%d.png|1|..\Texture\Monster\PigMan\PigMan_LayFire\PigMan_LayFire_%d.png
PigMan|PigMan_PreFire|PigMan_PreFire_%d.png|2|..\Texture\Monster\PigMan\PigMan_PreFire\PigMan_PreFire_%d.png
PigMan|PigMan_WalkBack|PigMan_WalkBack_%d.png|4|..\Texture\Monster\PigMan\PigMan_WalkBack\PigMan_WalkBack_%d.png
PigMan|PigMan_WalkFront|PigMan_WalkFront_%d.png|4|..\Texture\Monster\PigMan\PigMan_WalkFront\PigMan_WalkFront_%d.png
PigMan|PigMan_WalkSideBack|PigMan_WalkSideBack_%d.png|4|..\Texture\Monster\PigMan\PigMan_WalkSideBack\PigMan_WalkSideBack_%d.png
